Matching rank,top1_color,top2_color,top3_color,top1_style,top2_style,top3_style,top1_style_color,top2_style_color,top3_style_color
rank1 matching,42.85714286,0,28.57142857,0,42.85714286,0,0,0,0
rank2 matching,57.14285714,14.28571429,14.28571429,0,28.57142857,14.28571429,0,14.28571429,0
rank3 matching,42.85714286,0,14.28571429,14.28571429,42.85714286,0,14.28571429,0,0
