,input_image,top_link1,top_link2,top_link3,target_color,matching_col1,matching_col2,matching_col3,top1_color,top2_color,top3_color,matching_style1,matching_style2,matching_style3,top1_style,top2_style,top3_style
0,https://s3.amazonaws.com/nets213-fabrec/hit2_img/CCB.jpg,https://www.amazon.com/ZLZ-Stretch-Straight-Fashion-Jeans-Pants/dp/B075TS5149/ref=sr_1_4?keywords=white+jeans+mens&qid=1556130018&s=gateway&sr=8-4,https://www.amazon.com/Dockers-Classic-Perfect-Short-Cotton/dp/B00BBW2XZG/ref=sr_1_3?keywords=white+shorts&qid=1556076533&s=gateway&sr=8-3,https://www.amazon.com/Goodthreads-Mens-Skinny-Fit-Selvedge-Black/dp/B07FH4JTB3/ref=sr_1_1_sspa?keywords=black+skinny+jeans+men&qid=1556137426&s=gateway&sr=8-1-spons&psc=1,blue ,white,red,black,white,white,black,peg,skinny,wide leg,5pocket,shorts,skinny
1,https://s3.amazonaws.com/nets213-fabrec/hit2_img/Rose.jpg,https://www.amazon.com/onlypuff-Waisted-Shorts-Ripped-Zipper/dp/B07MHTR3MB/ref=sr_1_3?keywords=girls+short+jean+shorts&qid=1556130058&s=gateway&sr=8-3,https://www.amazon.com/Levis-Womens-High-Skinny-Jeans/dp/B071V5M4LX/ref=sr_1_2?keywords=blue+skinny+jeans+women&qid=1556137403&s=gateway&sr=8-2,https://www.amazon.com/Levis-Womens-Straight-Jeans-Black/dp/B0086SZBP2/ref=sr_1_11?keywords=womens+jeans+black&qid=1556130382&s=gateway&sr=8-11,white,black,dark blue,blue,baby blue,dark blue,black,peg,skinny,skort,shorts,skinny,5pocket
2,https://s3.amazonaws.com/nets213-fabrec/hit2_img/Joseph.png,https://www.amazon.com/Hanes-Mens-Ecosmart-Fleece-Sweatshirt/dp/B01L8JJG0G/ref=sr_1_5?keywords=mens+sweatshirt+blue+baggy&qid=1556130640&s=gateway&sr=8-5,https://www.amazon.com/dp/B079THHRZD/ref=twister_B0775PN4KL,https://www.amazon.com/Derminpro-Premium-Cotton-Henley-T-Shirts/dp/B07K1XXMJ4/ref=sr_1_8?keywords=mens+henley+purple&qid=1556130706&s=gateway&sr=8-8,baby pint,white,blue,purple,baby blue,white,maroon,gypsy,sweatshirts,polo,sweater,polo,henley
3,https://s3.amazonaws.com/nets213-fabrec/hit2_img/Jina.png,https://www.amazon.com/DEZZAL-Womens-Sleeve-Pullover-Sweater/dp/B076YC8M9W/ref=sr_1_5?keywords=white+sweater+womens&qid=1556130483&s=gateway&sr=8-5,https://www.amazon.com/SheIn-Womens-Strappy-Sleeveless-Racerback/dp/B06ZY7723K/ref=sr_1_12?keywords=white%2Bcrop%2Btop&qid=1556128726&s=gateway&sr=8-12&th=1&psc=1,https://www.amazon.com/Romwe-Womens-Sleeve-Casual-Chiffon/dp/B07JYYZCSF/ref=sr_1_29?keywords=white+blouse&qid=1556128795&s=gateway&sr=8-29,blue ,white,red,yellow,white,white,white,blouse,gypsy,sweater,gypsy,sleeveless,blouse
4,https://s3.amazonaws.com/nets213-fabrec/hit2_img/Weizhen.png,https://www.amazon.com/NENONA-Knitwear-Cardigan-Sweater-Blue-L/dp/B075N52V7L/ref=sr_1_5?keywords=blue+cardigan&qid=1556130249&s=gateway&sr=8-5,https://www.amazon.com/TownCat-Womens-Casual-Sleeved-Cardigans/dp/B07JLYW84J/ref=sr_1_5?keywords=white+cardigan&qid=1556129454&s=gateway&sr=8-5,https://www.amazon.com/Allegra-Womens-Lightweight-Classic-Casual/dp/B07MNWCJPL/ref=sr_1_1_sspa?keywords=pink+jacket&qid=1556130280&s=gateway&sr=8-1-spons&psc=1,green,dark green,pink,blue,blue,white,baby pink,turtleneck,sweater,butoon down shirt,sweater,sweater,sweater
5,https://s3.amazonaws.com/nets213-fabrec/hit2_img/Shriya.jpg,https://www.amazon.com/DREAM-PAIRS-Womens-Platform-Sandals/dp/B071Y3DR9H/ref=sr_1_4?keywords=white+heels+female&qid=1556129729&s=gateway&sr=8-4,https://www.amazon.com/Jabasic-Womens-Loafers-Casual-Driving/dp/B0793TLNPW/ref=sr_1_3?keywords=white+loafers+women&qid=1556137714&s=gateway&sr=8-3,https://www.amazon.com/dp/B07BPJ8GNQ/ref=sspa_dk_detail_0?psc=1&pd_rd_i=B07BPJ8GNQ&pd_rd_w=nDKKh&pf_rd_p=46cdcfa7-b302-4268-b799-8f7d8cb5008b&pd_rd_wg=hTUPA&pf_rd_r=TKV4Z06Z19SH84W6S96W&pd_rd_r=61d9f2eb-6ae1-11e9-851c-1df216413549,orange ,white,dark green,black,white,white,white,t-strap,mary jane,mocassin,mary jane,loafer,mary jane
6,https://s3.amazonaws.com/nets213-fabrec/hit2_img/Maxwell.jpg,https://www.amazon.com/ZLZ-Younger-Looking-Fashionable-Colorful-Stretch/dp/B074NYCP2T/ref=sr_1_3?keywords=skinny+jeans+for+men&qid=1556076412&s=gateway&sr=8-3,https://www.amazon.com/Signature-Levi-Strauss-Gold-Label/dp/B073V3TQHK/ref=sr_1_5?keywords=mens+jeans&qid=1556128634&s=gateway&sr=8-5,https://www.amazon.com/Levis-Loose-Straight-Point-Stretch/dp/B078S945P9/ref=sr_1_8?keywords=mens+jeans&qid=1556128663&s=gateway&sr=8-8,black,maroon,grey,dark blue,dark blue,dark blue,blue,pegged ,skinny,romper,sknny,5pocket,5pocket
