input_image,link1,link2,link3,link4,link5,link6,link7,link8,link9,color1,color2,color3,color4,color5,color6,color7,color8,color9,style1,style2,style3,style4,style5,style6,style7,style8,style9,matching_col1,matching_col2,matching_col3,matching_style1,matching_style2,matching_style3
ccb,https://www.amazon.com/FREDD-MARSHALL-Stretch-Straight-Fashion/dp/B01N9AUO66/ref=sr_1_5?keywords=mens+pants+white&qid=1556492913&s=gateway&sr=8-5,https://www.amazon.com/ZLZ-Younger-Looking-Fashionable-Colorful-Stretch/dp/B071D2THPT/ref=sr_1_4?keywords=mens+black+skinny+jeans&qid=1556492936&s=gateway&sr=8-4,https://www.amazon.com/Perruzo-Skinny-Stylish-Stretch-Jeans/dp/B0198Z4IFU/ref=sr_1_3?keywords=mens+red+skinny+jeans&qid=1556492958&s=gateway&sr=8-3,https://www.amazon.com/Signature-Levi-Strauss-Gold-Label/dp/B07337GN24/ref=sr_1_4?keywords=mens+jeans&qid=1556488874&s=gateway&sr=8-4,https://www.amazon.com/IZOD-American-Chino-Front-Straight-Fit/dp/B007U1ZVRO/ref=sr_1_3?keywords=black+mens+pants&qid=1556488851&s=gateway&sr=8-3,https://www.amazon.com/Match-Tapered-Stretchy-Casual-Pants/dp/B013HVFC10/ref=sr_1_6?keywords=red+mens+pants&qid=1556488957&s=gateway&sr=8-6,https://www.amazon.com/WT02-Basic-Stretch-Skinny-Chino/dp/B06Y5YPS6R/ref=sr_1_9?keywords=red+wide+leg+pants+men&qid=1556492392&s=gateway&sr=8-9,https://www.amazon.com/Southpole-Stretch-Basic-Twill-Skinny/dp/B07CD2CR5V/ref=sr_1_11?keywords=mens+red+pants&qid=1556492488&s=gateway&sr=8-11,https://www.amazon.com/ZLZ-Stretch-Straight-Fashion-Jeans-Pants/dp/B075TS5149/ref=sr_1_5?keywords=mens+white+pants+skinny&qid=1556492642&s=gateway&sr=8-5,white,black,red,dark blue,black,red,red,red,white,5 pocket,skinny,skinny,wide leg,slakcs,wide leg,skinny,wide leg,wide leg,white,red,black,peg,skinny,wide leg
rose,,,,,,,,,,black,baby blue,baby blue,black,blue,dark blue,blue,black,black,skinny,pal,short,yoga ,skort,leggings,skinny,skort,peg,black,dark blue,blue,peg,skinny,skort
